Section,Step,Action,Explanation,New/Modified,Key File(s)
Phase 1C: Chat UI,1.11,Build ChatOptionCard component,"A compact clickable list item shown when the engine pushes back on a modification. Shows: coloured icon, bold title, one-line description, right arrow. On click fires an action payload that applies the suggested fix. Appears inline in the chat flow. e.g. 'Lower purchase price — Drop to $380k, affordable by mid-2026 →'",New,src/components/ChatOptionCard.tsx
Phase 1C: Chat UI,1.12,Build ChatSummaryCard component,"A bordered key-value card shown after initial extraction. Displays: Clients, Income, Savings, Available Deposit, Property 1 details, Ownership. Lets the BA confirm at a glance what was understood. This is the 'visual receipt' — not a blocker, just confirmation.",New,src/components/ChatSummaryCard.tsx
Phase 1C: Chat UI,1.13,Build MicroConfirmationCard component,"A small animated card that flashes the critical numbers (income + savings) as the plan starts generating. Appears briefly before the full summary card. Not a blocker — just a quick visual receipt of the numbers that matter most. If these are wrong everything is wrong so the BA catches it immediately.",New,src/components/MicroConfirmationCard.tsx
Phase 1C: Chat UI,1.14,Build useChatConversation hook,"Manages chat state: message history, loading state, conversation context. Handles: sending messages to the nl-parse edge function, receiving responses, maintaining conversation history for multi-turn context, error states. Calls the Supabase edge function via supabase.functions.invoke().",New,src/hooks/useChatConversation.ts
Phase 1C: Chat UI,1.15,Build ChatPanel component,"The main chat container — replaces InputDrawer as the primary left panel. Header shows 'PropPath AI / Portfolio Planning Assistant'. Scrollable message list + text input pinned to bottom with placeholder 'Describe a client scenario...'. Typing indicator (3 pulsing dots) while waiting. In-chat loading state: 'Building your optimal path now...' with spinner. Auto-scrolls to latest message. Accepts onPlanGenerated callback.",New,src/components/ChatPanel.tsx
Phase 1D: Wire Into Dashboard,1.16,Replace InputDrawer with ChatPanel,"Hide the existing InputDrawer (Properties timeline + Client inputs panels) — do NOT delete the code or components. Comment out or conditionally render. ChatPanel becomes the primary left panel. The existing InputDrawer components (TimelinePanel, ClientInputsPanel) stay in the codebase untouched for potential reuse later.",Modified,src/components/InputDrawer.tsx + App.tsx
Phase 1D: Wire Into Dashboard,1.17,Wire ChatPanel to contexts,"When ChatPanel receives an initial_plan response: call mapToInvestmentProfile → InvestmentProfileContext.updateProfile(). Call mapToPropertySelections → PropertySelectionContext.setSelections() + PropertyInstanceContext.setInstances(). The existing useAffordabilityCalculator auto-recalculates. Charts auto-re-render.",Modified,src/components/ChatPanel.tsx
Phase 1D: Wire Into Dashboard,1.18,Add skeleton loading states to Dashboard,"When a plan is generating show skeleton placeholders on: summary cards (top), timeline chart (middle), detail cards (bottom). Skeleton appears within 200ms of sending a message. Uses Framer Motion for smooth skeleton → populated transitions.",Modified,src/components/Dashboard.tsx
Phase 1D: Wire Into Dashboard,1.19,Add progressive rendering,"Instead of waiting for full calc render in stages: micro-confirmation card flashes first (income + savings), then summary cards populate, then timeline chart draws, then bottom detail cards appear. Use state flags to stagger reveals with Framer Motion animations.",Modified,src/components/Dashboard.tsx
Phase 1D: Wire Into Dashboard,1.20,End-to-end test + prompt refinement round 2,"Full pipeline test. Type a scenario in chat → edge function returns JSON → data mapper converts → contexts update → engine calculates → charts render. Test with the same 10-scenario bank from step 1.5 but now through the full UI. Fix any prompt issues found. This is the second iteration of the prompt refinement loop.",Test,All Phase 1 files
Phase 2A: Modifications,2.1,Extend edge function for intent classification,"When a plan already exists the edge function needs to classify: is this a modification / explanation / comparison? Add current plan state to the system prompt context so Claude can understand what 'property 2' or 'the first one' refers to.",Modified,supabase/functions/nl-parse/index.ts + system-prompt.ts
Phase 2A: Modifications,2.2,Build modification pipeline,"When a modification comes in: map to context updates via mapModificationToUpdates → apply to contexts → engine recalculates → if feasibility passes update dashboard + confirm in chat. If feasibility FAILS → do NOT apply → pass failure to constraint feedback handler → show option cards.",Modified,src/components/ChatPanel.tsx + src/utils/nlDataMapper.ts
Phase 2A: Modifications,2.3,Build constraint feedback handler,"Takes output from existing feasibilityChecker.ts (which properties fail and why) and existing suggestedFixes.ts (fix suggestions) → formats into ChatOptionCard objects. Translates engine-speak into conversational options. e.g. 'Only $62k available need $118k' → 3 option cards with specific fixes and real numbers.",New,src/utils/constraintFeedback.ts
Phase 2A: Modifications,2.4,Build option card click handling,"When BA clicks an option card: apply that specific fix to the relevant context → engine recalculates → dashboard updates → confirm in chat ('Applied — dropped property 2 to $380k. Cashflow buffer now $2100/month.'). Each card carries an action payload with the exact context updates.",Modified,src/components/ChatPanel.tsx + ChatOptionCard.tsx
Phase 2A: Modifications,2.5,Test modification flows + prompt refinement round 3,"Test: move a property earlier (should fail if unaffordable → show options), change a price, change state (stamp duty recalculates), add a property, remove a property, change savings rate, change LVR. Also test ambiguous modifications: 'make it cheaper' / 'push it back a bit' / 'what if we went higher LVR'. Fix prompt for any failures.",Test,All Phase 2A files + system-prompt.ts
Phase 2B: Explanations,2.6,Build explanation generator,"When BA asks 'why is cashflow negative in 2029': identify the relevant period from the question, pull chart data + property data at that period from useChartDataGenerator output, send data context to Claude via edge function, return plain-English explanation referencing real calculated numbers.",New,src/utils/explanationGenerator.ts
Phase 2B: Explanations,2.7,Wire explanations into ChatPanel,"When the edge function classifies a message as type 'explanation': call explanationGenerator with the question + current chart data → render Claude's response in chat. The response must reference specific numbers from the actual engine output — never made-up figures.",Modified,src/components/ChatPanel.tsx
Phase 2B: Explanations,2.8,Test explanation flows + prompt refinement round 4,"Test: 'why is cashflow negative in 2029' / 'what happens to equity after property 3' / 'explain the dip' / 'how does the deposit work for property 2'. Verify explanations reference real numbers from the engine. Fix any prompt issues — this is the fourth refinement round.",Test,All Phase 2B files + system-prompt.ts
Phase 3A: Persistence & Output,3.1,Add conversation_history column to scenarios,"Supabase migration: add a conversation_history JSONB column to the scenarios table. Stores the full chat message array alongside the scenario data.",New,supabase/migrations/add_conversation_history.sql
Phase 3A: Persistence & Output,3.2,Save/load chat history with scenarios,"When saving a scenario include the chat history. When loading a saved scenario restore the chat history into ChatPanel. BA picks up the conversation where they left off.",Modified,src/contexts/ScenarioSaveContext.tsx + ChatPanel.tsx
Phase 3A: Persistence & Output,3.3,Test client report and PDF export,"The existing client report button and PDF export read from the same contexts — so NL-generated plans should work already. Test with 2-3 NL-generated scenarios. Fix any edge cases where the report expects data the NL path doesn't set.",Test,Existing client-view + PDF export files
Phase 3B: Error Handling & Polish,3.4,Add error handling to edge function calls,"Handle: Claude API timeouts ('Thinking longer than usual...'), malformed responses (retry once then 'Something went wrong — try rephrasing'), rate limits, network failures. Never show raw errors. All error states render as friendly chat messages.",Modified,src/hooks/useChatConversation.ts
Phase 3B: Error Handling & Polish,3.5,Add usage tracking,"Track tokens used per user per month in Supabase. New table or column for token counts. Soft monthly limit (e.g. 500 plans/month). Show usage in settings page. Edge function logs token usage on each call.",New,supabase/migrations/ + edge function + settings UI
Phase 3B: Error Handling & Polish,3.6,Final prompt refinement and edge case sweep,"Final round of prompt testing. Focus on the cases that broke in earlier rounds plus new edge cases: zero savings, very low deposit ($10k), very high income ($500k+), PPOR included, vague language ('a client wants to invest'), modification that makes entire plan infeasible. This is the polish round — targeting 97%+ accuracy.",Test,supabase/functions/nl-parse/system-prompt.ts
Phase 3B: Error Handling & Polish,3.7,Comparison flow (stretch),"'What about Brisbane instead of Melbourne for property 3?' → fork the scenario, run both through the engine, show side-by-side differences in chat. Uses existing MultiScenarioContext. Lower priority — only if time permits.",New/Modified,ChatPanel.tsx + MultiScenarioContext
