id,name,relevance_tier,employees,state,website,blurb,notes
4d3abd7d-5238-41d3-b0d7-276c26cdb572,High Income Property,high,5,National,https://highincomeproperty.com.au/,Investment property buyers agent leveraging data and custom strategies to source high-income residential properties across Australia.,Multi-state licensed. Data-driven.
8e4b589b-6887-455c-855b-7a191862fb1e,The Investors Agency,high,5,National,https://theinvestorsagency.com.au/,"Investment BA analyzing 15,264 suburbs monthly. $500M+ in deals. Targets 10%+ annual capital growth.",Investment-exclusive. Data-driven.
263df79a-cb3f-448a-8886-873277dc04ef,Search Property,high,5,National,https://www.searchproperty.com.au/,Founded by Ravi Sharma. Specializes in $500k-$900k established properties in high-performing regional markets.,Investment-exclusive. Regional growth markets.
5a48f8d8-6d7d-4f0a-bfc6-039443a5e2ba,Your Empire,high,5,National,https://www.yourempire.com.au/,Founded by Chris Gray (retired at 31 with $20M+ portfolio). Helps time-poor professionals build property portfolios.,Investment-focused. Services overseas investors/expats.
e6f3abc5-356d-4990-ae6d-f9f698340867,Right Property Group,high,5,National,https://rightpropertygroup.com.au/,"15+ year property advisory founded by Victor Kumar. Search, selection, negotiation, and ongoing investment guidance.",Investment-focused advisory. National.
a0aff15e-61c0-4608-aa16-a968314108f3,CH Secure,high,5,National,https://chsecure.com.au/,Affordable property investment buyers agency. Part of Cohen Group. Targets high-growth locations with strong rental yields.,OFFSHOOT of Cohen Handler. Investment-focused arm.
b53a4782-d1b7-469a-9ff0-0f98c5725ee3,Get RARE Properties,high,3,National,https://getrare.com.au/,"Data-driven investment property buyers agent across Sydney, Melbourne, Brisbane, Perth. Proprietary RARE Model and Property Wealth Blueprint.",Founded by Rasti Vaibhav. Strong investment focus.
770a995f-7e81-4d2d-994a-dedd28a614ed,Pure Property Investment,high,3,NSW,https://purepropertyinvestment.com/,"Investment property buyers agent led by Paul Glossop. Specializes in off-market, below-market-value, positively-geared properties.",Award-winning. Exclusive investment focus.
ae50ccd3-c7d4-4741-9544-6f89d93297e4,Buyers Agency Australia,high,3,National,https://buyersagencyaustralia.com.au/,"Investment property buyers agent serving Sydney, Perth, and Melbourne.",Investment-exclusive focus.
d5507489-36fd-4f81-ab3b-05d91c9cf32d,Asciential Property Group,high,1,NSW,https://asciential.com.au,"Qualified Property Investment Advisor providing investment advice, research, and portfolio management. Focus on property market cycles.","Boutique, investment-focused; QPIA qualified"
9cb0e9a5-143d-4396-8fdc-2efaefa9ead5,Mecca Property Group,high,510,VIC,https://meccapropertygroup.com.au/,Commercial and residential investment buyers advocacy. Completed 100+ transactions in 3 years; caters to high-net-worth and overseas buyers.,Investment-focused; HNW clientele; overseas buyer base
92c48600-18fc-444d-9f32-6a327074e566,Elite Buyer Agents,high,510,National,https://elitebuyeragents.com.au/,Investment-focused buyers agency operating nationally. Data-driven property selection for investors.,Investment-focused; national
b64aa0d3-6991-459b-819e-cbeac894dc54,AllenWargent Property Buyers,high,36,National,https://www.allenwargent.com.au/,"Boutique buyers agency founded by Pete Wargent. Focuses on residential and commercial investment in Brisbane, Central Coast, and Newcastle.",Pete Wargent is published author and media commentator
fec946a1-3ede-46ad-90ed-d59a18261b7d,Gather Property,high,15,National,https://gatherproperty.com.au/,Boutique buyers agency focusing on residential and commercial property acquisitions for Australian property investors.,Exclusively investment-focused; boutique model
08256be8-27a5-4cdd-8d66-2653f15d2dfe,Property Principles,high,35,NSW,https://propertyprinciples.com.au/,Data-driven buyers agency for busy professionals seeking investment-grade properties with capital growth and positive yields.,Exclusively investment-focused; no off-plan
440b1f25-b28c-4e2d-b274-42ea7700a801,Follio,high,15,VIC,https://follio.com.au/,Portfolio-focused property buyers agency. Name suggests investment/portfolio approach.,Investment-focused; boutique
9c6d5ecb-ebd8-425f-a38c-bfeea766659e,TR Buyers Agent,high,24,NSW,https://trsproperty.com.au/,Expert buyers agency specializing in investment properties. Works exclusively with experienced investors and SMSF trustees.,Identified as TRS Property Partners; SMSF specialization
11aac96d-f3c2-4521-959e-ccd741bdcf92,MCS Buyers,high,24,NSW,https://www.mcsbuyers.com.au/,"Specialist strategic real estate buyers agency in Sydney focused on investment acquisition, renovation, and development.",Exclusively investment-focused; strong expat/foreign buyer focus
66b500e0-3f3f-4d20-b46b-c5096db2f006,Property Strats,high,13,National,https://www.propertystrats.com.au/,Premier investment buyers agency founded by Steve Ash. Sources undervalued off-market properties with 15+ years experience.,Exclusively investment-focused; Buyers Agent of Year 2026
ccca9047-1a42-4e2f-a95a-1db7f3a3d6a9,Actuate Property,high,13,VIC,https://actuateproperty.com.au/,Melbourne-based investment property buyers agency. Independent strategic advice for building high-performance portfolios.,"Boutique, investment-focused"
66ae4284-7627-47bb-a8ab-bddd879094bf,Binnari Property,high,13,VIC,https://binnariproperty.com.au/,Melbourne-based buyers agency with investment portfolio focus.,Investment-focused; boutique
299e9e78-7f00-4765-8965-bf7b67997708,Caifu Property,high,13,VIC,https://caifuproperty.com.au/,Melbourne-based property investment advisory targeting Chinese-Australian investors. Specializes in investment portfolios.,Investment-focused; Chinese-Australian market
a35a0641-5f76-487a-b803-d16624b0d872,Envisage Property,high,13,VIC,https://envisageproperty.com.au/,Property investment advisory in Melbourne. Portfolio building and investment strategy.,Investment-focused; boutique
c4ecc4fc-37bd-44cb-a908-5a78117ccd29,Strat Prop,high,12,NSW,https://stratprop.com.au/,"Buyers agency analyzing demographic movements, infrastructure, and government initiatives for investment plans.",Investment-focused; Manly-based; CAD background founder
fb91d235-1842-4116-b7cf-8f32b3c8efa3,Avid Hawks,high,,NSW,https://avidhawks.com.au/,"Boutique buyers agent run by Michael Shaw specializing in investment properties. Two clients per week maximum, with focus on investor-centered portfolio building.",Individual/boutique operator; 15+ years experience
70c1df78-1b28-40ce-84b3-4b9d2ffcee0b,BuyFair Property Group,high,,VIC,https://buyfairproperty.com.au/,Property investment education business providing off-the-plan and new home investment sales. Focuses on mum-and-dad investors and wealth creation.,"Investor-focused; education, off-plan, NDIS/SMSF strategies"
5484f2a5-abc8-42ed-affc-9b4865d3b93e,Rising Returns,high,,National,https://risingreturns.com.au/,Investment property buyers agent using advanced data analysis and predictive models. Transparent fixed-fee model.,Tech-driven. Investment-exclusive.
9d37d408-1ccc-4eef-ae34-9e9e8e716deb,CAPITAL PROPERTY ADVISORY,high,,WA,https://www.cpadvisory.com.au/,Independent fee-for-service BA. REBAA+PIPA member. Led by Matthew Hughes (2025 PIPA National Property Investment Adviser of Year). Research-backed strategic advice and acquisition.,"REBAA National Committee member. PIPA Board Director. Perth-based, national reach. Investment incl SMSF. Client-paid, independent."
86012e30-811c-4f76-b1b0-a5b6d8042625,AUSWIDE BUYERS AGENCY,high,,National,https://auswideba.com.au/,"Investment-focused BA founded by Ashish Malhotra. Analyses 15,264+ suburbs using proprietary data. Residential, commercial, SMSF purchases nationally. 94% success rate at/below market value.","REBAA member. North Sydney. Founder built $4.5M portfolio in 7 years. Strong investment focus. Client-paid, independent."
dbce4331-5873-4d26-a2eb-4a3953b9648e,COMPLETE PROPERTY STRATEGIES,high,,SA,https://completepropertystrategies.com.au/,Adelaide BA led by Brian (20+ yrs). Licensed BA + mortgage broker + financial coaching consultant. Investment and OO. Off-market access. 39-day avg to find property.,REBAA member. Adelaide specialist. Investment strategy + acquisition. Client-paid.
8e1162d2-606d-44f0-a74d-80f1e32c0643,JAY ANDERSON PROPERTY,high,,NSW,https://www.jayanderson.com.au/,Independent BA — residential and commercial acquisition. Data-driven research and tailored investment strategy. REB Buyers Agent of Year finalist 2023.,REBAA+PIPA+PICA. QPIA accredited. Sydney-based. Strong investment + commercial capability.
d710cfc1-7c5c-4205-91c4-a810c5ed3de0,LONGVIEW,high,,National,https://rebaa.com.au/members/longview/,"Integrated residential property business: buying, advisory, management services and investment funds. Proprietary data science. REBAA member.",REBAA member. Unique model — includes investment funds. Strong investment focus with data science approach.
535f85ca-b807-4e1d-b621-a8450c9c0820,RESOLVE PROPERTY SOLUTIONS,high,,WA,https://resolvepropertysolutions.com.au/,Perth BA. $320M+ purchased for clients since 2020. Investment and OO. Led by Peter (REBAA WA State Rep). Off-market access.,REBAA member. Peter is REBAA WA State Rep. Strong investment focus. Family development background.
65a08414-6539-45a3-9ada-d452d1e55c17,SHARP PROPERTY BUYERS,high,,NSW,https://sharpproperty.com.au/,Independent BA on Central Coast NSW. Led by Matt Sharp (QPIA — Qualified Property Investment Adviser). 100+ 5-star Google reviews. REBAA+PIPA member.,REBAA+PIPA. QPIA accredited = investment qualified. Central Coast specialist. Investment + OO.
8cbae885-8df5-469e-bf94-0ad9ed09e2ad,Property Investment Project,high,5,QLD,https://propertyinvestmentproject.com.au/,Investment-focused buyers agency helping clients build property portfolios across Australia.,QLD-based; 3 contacts in Individuals list
58e7d6da-1a97-43d4-9093-86894ab0d155,Property Investment Store,high,10,National,https://www.propertyinvestmentstore.com.au/,"National property investment advisory providing end-to-end support for investors including research, acquisition and portfolio management.",3 contacts in Individuals list
3cdc23d4-3aa1-402b-9206-9a494ae92b62,Atlas Property Group,high,15,National,https://www.atlaspropertygroup.com.au/,Property investment firm offering buyers agency services with data-driven research across multiple Australian markets.,3 contacts; national reach
294a20f6-5410-4e4a-8734-60c5d9f1561b,Liberty Property Strategies,high,3,VIC,https://www.libertypropertystrategies.com.au/,Boutique property investment strategist helping investors build wealth through residential property across Melbourne and regional Victoria.,2 contacts
04d75b5a-60c6-4f27-ad20-e7517b86040b,Simply Wealth Group,high,5,NSW,https://www.simplywealthgroup.com.au/,Property investment advisory firm helping Australians build wealth through strategic property acquisition and portfolio planning.,2 contacts
2f7ed5de-cf45-4f72-85f9-3259c25c209e,Auspacific Property Investment Group,high,10,NSW,https://www.auspacific.com.au/,Property investment group specialising in sourcing high-growth investment properties for Australian and international investors.,2 contacts; strong international investor focus
500d01e9-93d5-40d5-8d65-9d11018b1f62,Bryson Buyers Agents,high,2,NSW,https://brysonbuyersagents.com.au/,Boutique buyers agency focused on investment property acquisition in Sydney and surrounding regions.,
28f472fe-09b6-42d3-8506-9a1523dbe44b,Russell Napier Buyers Agent,high,1,VIC,https://www.russellnapier.com.au/,Solo buyers agent specialising in investment and owner-occupier property purchases across Melbourne.,Solo operator
da55a86a-6186-4a60-8bc2-88e1961de009,Admire Property Group,high,3,VIC,https://www.admirepropertygroup.com.au/,Investment-focused property advisory helping clients build portfolios with data-driven research across Australian metro and regional markets.,
00bc0b36-40bb-4c90-8a31-695c304b8def,Ascend Property Advisory,high,2,QLD,https://ascendpropertyadvisory.com.au/,QLD-based property investment advisory providing strategic acquisition guidance for investors targeting capital growth.,
eece751b-272c-4032-a807-8ef4eed78174,EQ Property,high,2,NSW,https://www.eq-property.com.au/,Data-driven buyers agent focused on capital growth through organic and manufactured growth in Sydney and Newcastle.,Founder Giles Hill; REBAA-listed
7b486b0c-b641-4017-bb93-642e33703217,IDentity Property Buyers,high,2,VIC,https://identitypropertybuyers.com.au/,"Boutique buyers agency specializing in investment-grade residential properties across Melbourne, Ballarat, Geelong, and Surf Coast.",Founded 2019; PIPA member
4df87e27-3883-409d-a7f1-16ca9f736e4e,Jag Property Advisory,high,1,National,https://www.jagpropertyadvisory.com.au/,Investment-focused buyers agent with tailored strategies across Australia to identify high-quality properties matching investment goals.,Founder transitioned from healthcare; BAI-trained
49054b23-5cb2-4f30-88ee-10678006ee2d,Smarter Property Investing Pty Ltd,high,1,VIC,https://smarterpropertyinvesting.com.au/,Property investment strategist offering guidance on safe investment strategies for Australian families.,Christine Williams (30 yrs exp); licensed VIC/NSW/QLD
912bca01-5eae-47e8-aa99-7bb3aa93239d,Ally Property Group,high,3,WA,https://allyproperty.com.au/,Property investment advisers crafting personalized strategies for Australian expats and residents with cash flow modeling.,Based South Perth; expat specialist
2ccf3f31-2c91-432f-bc4b-78fce553d0f1,Inview Property Group,high,3,VIC,https://inviewpropertygroup.com.au/,"Buyers advocacy and vendor advocacy with expert guidance for home buyers, investors, and developers across Melbourne.",Founded 2018; REBAA-accredited; 98% referral-based
a2d33a6a-a140-45aa-9dd2-af9c6e242c03,Simple Property Investment,high,2,QLD,https://simplepropertyinvestment.com.au/,"Independent property investment advisory providing ethical, transparent guidance and portfolio strategies across Australia.",Founded 2010; ASPIRE Network accredited; PIPA member
8abb838e-5bcf-4417-8900-234788a41bbf,The Investment Property Guys,high,2,QLD,https://www.theinvestmentpropertyguys.com.au/,Investment property advisors specializing in SMSF property investment strategies to accelerate superannuation returns.,SMSF specialist; QLD-based
150af483-d06f-4118-b7dd-efc4cf998fbf,20-20 Property Advisory,high,2,QLD,https://20-20propertyadvisory.com.au/,Research-based property advisory specializing in identifying above-average capital growth properties with focus on exit strategy.,Founded by Mike Anderson; 20 years exp; geographic housing research model
045c3ff8-ae0c-4a30-8cff-f624787d63d2,Property Investors,high,69,VIC,https://propertyinvestors.com.au,"Property investment consulting firm helping Australians build portfolios through expert strategists. Research-to-purchase model with nationwide coverage across Melbourne, Sydney, Brisbane, Perth.","18 contacts in Individuals list. Founded 2014, Carlton VIC based. 2000+ clients served."
ab3aa9d2-5f3a-46b8-8668-1ee04d82eba9,Wealth for Life,high,15,VIC,https://wealthforlife.com.au,"Property investment advisory and wealth education firm. End-to-end service: land sourcing, home building, finance, tenant placement. Predictive investment model focused on financial literacy and passive income.",3 contacts in Individuals list. Founded by Anthony Peluso. $1B+ in property acquired for clients. South Melbourne based.
135398db-b1e2-45f2-84fb-a1db1f893b68,National Investment Advisory,high,7,VIC,https://nationalinvestmentadvisory.com.au,"Specialist investment advisory offering property wealth planning, mortgage finance, SMSF property investment. LEAP Roadmap methodology with 400+ success stories. Offices in Melbourne, Sydney, Brisbane.",2 contacts in Individuals list. Founded 2018 by Matt Bower. $798M+ in property secured for clients.
6b70452f-d8d3-4d10-94c2-e520100f3ec6,PMC Property Buyers,high,22,NSW,https://pmcproperty.com.au,"Buyers agents and property investment advisors across Sydney Northern Beaches, Brisbane, Newcastle, Melbourne, Gold Coast, Sunshine Coast. Team includes ex-valuers, senior selling agents, QPIAs. Home buyers + investors + expats.",1 contact in Individuals list. Manly-based. Strong off-market access. Also serves downsizers and prestige buyers.
b8a947c4-ae06-432e-bf2d-77265b85e1fa,Monopoly Wealth Property Buyers,high,3,QLD,https://monopolywealth.com.au,"Licensed buyers agency and QPIA on the Sunshine Coast, Brisbane and Gold Coast. Independent — no properties for sale. Services: buyers advocacy, SMSF investments, property portfolio planning, property research (Australia-wide). Also mortgage broking.",1 contact in Individuals list. Founded by Jaye Kershler (QPIA). Sunshine Coast based.
8479f483-37eb-4a1f-a895-3817ded5058b,Ally Property Group (Individuals),high,2,WA,https://allypropertygroup.com.au,NOTE: Already in Excel as 'Ally Property Group' (row 147). This is the same company — additional contact from Individuals CSV added here for reference.,1 additional contact found in Individuals list. Already tracked — merge LinkedIn below into existing entry.
70ed29dd-da12-4471-a415-d30adeeefab8,Aurum Advisory,high,5,NSW,https://aurumadvisory.com.au,"Boutique buyers agency in Sydney. Full-service: sourcing, due diligence, negotiation, auction bidding, property management. Strong prestige/Eastern Suburbs focus. Team includes Tammy Soglanich (250+ purchases) and Leon Jacques.",Founded by Leon Jacques & Sammi. Strong Google reviews. Sydney and beyond.
33db663e-37f9-4159-a150-bbffc254d855,Buyers Butler Buyers Agency,high,8,QLD,https://buyersbutler.com.au,"Boutique buyers agency servicing Brisbane, Sunshine Coast, Gold Coast, Melbourne, Sydney, Townsville, Far North QLD. Average 21-day property find. $25M secured last FY. Off-market access, 5-star Google reviews.","Founded 2021, Albany Creek QLD. Growing national footprint with agents across multiple states."
5c1aa3d2-de71-4a5c-892e-14f2ce023513,Hot Property Specialists Buyers Agency,high,3,QLD,https://hotpropertyspecialists.com.au,"Brisbane buyers agency, one of SE QLD's longest running. Full service: investment, home buyer, renovation consulting, vendor advocacy, portfolio management, auction representation. Founded 2008 by Liz Wilcox, now run by Zoran & Maddyson Solano (2nd gen). REBAA member.",Greenslopes QLD. $6.5M revenue. 3rd generation property investors. Award-winning.
5c32fdf8-3fd3-4043-b3bf-659eda77b47c,Adviseable,high,5,VIC,https://adviseable.com.au,"Licensed BA & QPIA. Australia-wide investment property search and home buying. Fee-for-service model, no stock. Founded by Kate Hill (co-author ""The Female Investor"", top 2 YIP Adviser of Year). Team: Kate, Alex (15yrs), Sybil, Kathy. REBAA & PIPA member. Services: full BA, strategy, due diligence, negotiation, PM referrals, subdivision/development.",Strong brand. Multi-state licensed. Emphasis on investor education. Development advisory capability.
abb78cbb-ec17-4a87-9b04-162ce65c74b8,House Hunters Australia,high,3,NSW,https://househunters.com.au,"Boutique Sydney BA. Licensed in NSW & QLD. Residential & investment specialist. Founded by Valeria Davis (20+ years RE experience). Fixed pricing from $5,500. Takes only 1-2 new clients/month. Full service: sourcing, due diligence, negotiation, auction bidding, settlement. Off-market/pre-market access. 100% success rate claimed.",Strong digital presence. Case studies show results (e.g. $2.45M to $3.4M in 12 months). Sydney Eastern Suburbs focus.
6026e8d4-5008-446a-a1a2-948085e91338,Iconic Investing,high,3,QLD,https://iconicinvesting.com.au,"Brisbane-based BA. Services: first home buyers, investors, expats/overseas buyers, SMSF investors. Data-driven strategies, portfolio management, suburb analysis. End-to-end: search, finance strategy, tax structuring, purchase. Investment-focused with strong SMSF capability. Testimonials from interstate investors.",Investment-first positioning. SMSF specialisation differentiator. Serves expats remotely.
d7ab8cf5-6ee8-4d3f-8a59-9b1401a67dcc,PropXperts,high,9,VIC,https://propxperts.com.au,"Fast-growing BA. Co-founded by Dinesh Goyal (ex-railway engineer) & Manish (IT background, 3 Master's degrees). Data-driven approach. 100+ happy clients. 15+ deals/month. Melbourne-based, serves nationally. Services: property search, investment strategy, due diligence, negotiation, interstate buying. Team of 9 (many former clients). Active content/education platform.",Rapid growth story. Strong digital/content marketing. Interstate investment focus.
c29cd695-5aa4-4d4b-8e4c-61ecb0a214bc,Propertify Me,high,2,VIC,https://propertify.me,"Melbourne BA. Founded by Amit Jadonn (Licensed BA, Masters in Business & Accounting, NLP Practitioner). Goal: help 100 buyers/year. Target: '10 properties in 10 years'. Residential & commercial, Australia-wide. Services: sourcing, financial analysis, due diligence, negotiation, mentoring. Creator of First Home Buyers Course & Residential Investment Course.",Solo operator with education focus. Residential + commercial. Wealth coaching angle.
331caddf-552a-4a8b-a8cf-17f3abbc2d0c,MSISA Property and Consulting Agents,high,5,NSW,https://msisaproperty.com.au,"BA & property consulting. Founded by Sanders Muleya (15 properties across AU, ex-nurse turned full-time investor). Licensed: REIV, REINSW, REIQ, PIPA member. Services: BA, property advisory, vendor advocacy, SMSF investment, portfolio management. '10x Property System' methodology. Author of 2 books. 150+ investors helped. Bella Vista NSW office. Also has development arm (MSISA Property Developments).",Multi-state licensed. SMSF expertise. Strong personal brand/story. Development capability.
8c9a1922-d23b-46bc-87fe-a91f7e604613,Marvel Realty,high,5,NSW,https://marvelrealty.com.au,"BA & property investment company. Founded by Eddie Urra (investing since age 19). Fixed fee BA service. Services: buyers agent, property appraisal, property management, SMSF investment. Focus: existing properties, off-market access, investment property sourcing. Operating since 2005. Also known as Marvel Invest.",Long-established (2005). Fixed fee model. Existing property + SMSF focus.
7fdd2980-093d-4f8b-aeea-a2459420c162,Rethink Investing,high,50200,New South Wales,https://rethinkinvesting.com.au,"Australia's largest commercial buyer's agency. Also residential via Rethink Residential. REBAA member. $3B+ in acquisitions, 70% off-market. Founded by Scott & Mina O'Neill.",Moved from Investment Strategists after research. Major industry player.
82c5a6cf-aa45-41ed-84fa-f2506b293a37,Property Lions,high,1150,New South Wales,https://propertylions.com.au,"Commercial property buyers agency. Acquires assets $5M-$25M for HNW investors. Led by Will Tong (24yrs, 600+ transactions, $3.5B). XCommercial partner.",Moved from Investment Strategists after research. Boutique commercial BA.
d40f853e-b10b-4a78-b496-80cc42fa4a25,360 Buyers Agents,high,2,National,https://www.360buyersagents.com/,Family-run investment-focused buyers agency. Explicitly portfolio-focused — helps investors replace income through property. Targets cash flow positive properties and multi-property strategies.,Michael & Aaron Short. 35 years combined experience. Investment-only focus.
cb4baee6-6002-4c3d-9540-23b65c1b934d,Aus Property Professionals,high,8,National,https://www.auspropertyprofessionals.com.au/,Multi-award-winning investment-focused buyers agency founded by Lloyd Edge (author of Positively Geared & Buy Now). Portfolio strategy over 5-15 year horizons. Equity growth specialists.,REINSW Buyers Agent of Year 2024. Strong portfolio/strategy focus. National coverage.
66278100-6780-48a8-bab7-a50b60426c67,Taylored Property Wealth,high,4,National,https://tayloredpropertywealth.com.au/,"Boutique investment-focused buyers agency run by Casey Taylor. Specialises in helping investors build high-performing property portfolios. Newcastle, Brisbane, Adelaide, Perth. Multi-property strategies.",Investment-only focus. Portfolio diversification. Growing team. Strong PropPath fit.
5e4b4079-b5a3-48d9-87db-77b4f6e3b532,Elite Wealth Creators,high,3,National,https://elitewealthcreators.com/,"End-to-end property investment company. Integrated ecosystem: strategy, buyers agency, finance, and property management. Multi-property portfolio building. SMSF and NDIS investment specialists.","Strong portfolio focus. Talks about decade-long roadmaps, lifecycle partnerships, equity unlocking."
53470ece-a7d5-45f3-8e0c-217996ab77e4,IFP Advisory,high,2,National,https://www.ifpadvisory.com.au/,"Property investment advisory and buyers agency. PIPA member (QPIA). Turn-key investment process: strategy, property sourcing, finance, insurance, management. Portfolio building focus. ASPIRE Advisors Network partner.",Strong investment focus. Portfolio building. Education-led. PIPA member. Good PropPath fit.
0746859e-8adb-4251-90b1-32da5399434e,Inspire Realty,high,4,National,https://inspirerealty.com/,Award-winning property advisory and buyers agency founded by Colin Lee. Focus on building profitable property portfolios for long-term financial security. Brisbane/Sydney/Melbourne. Education + investment strategy + buying.,Strong investment focus. Portfolio building. Smart50 winner. Compounding wealth strategy. Good PropPath fit.
f92cefe0-3bd8-4d23-84e1-d1f008a20671,Investors Dream,high,2,National,https://investorsdream.com.au/,Pure investment-focused buyers agency run by Sanjeev. Specialises in positive-cashflow properties with capital growth. Portfolio building with education focus. National sourcing.,Investment-only. Portfolio education. Multiple purchases per client. Strong PropPath fit.
2ef70809-5224-417f-9811-4acf9d59a3e8,Milk Chocolate Property,high,10,NSW,https://www.milkchoc.com.au/,"Full-service property firm with Game Plan strategy, data-driven portfolio building, buyers agency, construction/renovation, and property management. Projects $5M+ portfolio surpluses for clients. Multi-property investment focus with in-house economists and data scientists.",Strong PropPath fit. Portfolio building. Multi-property strategies. Data-driven. National reach.
46db771a-ccae-4452-a109-54f3a86c811b,Pumped On Property,high,10,National,https://pumpedonproperty.com/,"Pure investment-focused BA. Portfolio building for financial freedom. $550M+ worth of investment property bought since 2015. Annual performance reviews. Multi-city (Sydney, Newcastle, Brisbane, Gold Coast, Sunshine Coast, Melbourne, Perth).",Strong PropPath fit. Portfolio building. Multi-property strategies. Financial freedom focus. Education/mentoring.
b3d2d95d-556a-4254-b42b-c4ab52ea279f,Property Mavens,high,5,VIC,https://www.propertymavens.com.au/,Melbourne-based investment-grade property specialist. Accredited Property Investment Advisor. 57-point investment checklist. $500M+ bought. Author of 'Property Prosperity'. REIV Buyers Agent of Year 2021. Australia-wide network.,Strong PropPath fit. Investment-grade focus. Portfolio strategies. Evidence-based. Multi-award winner.
891933dc-56f5-432f-9d94-635a35e241d3,Palise Property Buyers Agency,high,8,National,https://www.paliseproperty.com/,National buyers agency specialising in commercial and residential investment property. 2000+ acquisitions. Led by Steve Palise. Commercial Property Institute education platform. Passive income and portfolio building focus.,Strong PropPath fit. Investment-only. Portfolio building. Commercial + residential. Education platform.
6aeb506b-c51c-4a7e-b8eb-fb3800a62ef4,Pinnacle Buyers Agents,high,4,QLD,https://www.pinnaclebuyersagents.com.au/,"Brisbane-based investment-focused buyers agency. Proprietary investment methodology. Data-backed, portfolio fast-tracking strategy. Capital growth, rental yield and vacancy rate analysis.",Investment methodology. Portfolio fast-tracking. Data-driven. Strong PropPath fit.
1cb3a210-9c31-4326-bfba-9d8c7f39e689,Seekology,high,2,National,,"Exclusively for property investors. Searches nationally for outstanding investment opportunities, evaluates suitability and negotiates price on behalf of buyers. Investment-only practice.",Pure investment focus. National scope. Strong PropPath fit.
